Index,Date,Route,Classification,Donor,Aid (tons)
1,25 Feb 2024,Aerial Route,Food,Jordan,32
2,26 Feb 2024,Aerial Route,Food,Jordan,40
3,27 Feb 2024,Aerial Route,Food,United Arab Emirates,44
4,28 Feb 2024,Aerial Route,Food,Jordan,4
5,29 Feb 2024,Aerial Route,Food,Jordan,24
6,1 Mar 2024,Aerial Route,Food,Egypt,3
7,2 Mar 2024,Aerial Route,Food,U.S,36
8,2 Mar 2024,Aerial Route,Food,Jordan,16
9,3 Mar 2024,Aerial Route,Food,Jordan,64
10,4 Mar 2024,Aerial Route,Food,United Arab Emirates,44
11,5 Mar 2024,Aerial Route,Food,United Arab Emirates,44
12,6 Mar 2024,Aerial Route,Food,United Arab Emirates,24
13,7 Mar 2024,Aerial Route,Food,Jordan,94
14,8 Mar 2024,Aerial Route,Food,Jordan,70
15,7 Mar 2024,Aerial Route,Food,United Arab Emirates,52
16,8 Mar 2024,Aerial Route,Food,United Arab Emirates,64
17,9 Mar 2024,Aerial Route,Food,Jordan,102
18,9 Mar 2024,Aerial Route,Food,United Arab Emirates,100
19,10 Mar 2024,Aerial Route,Food,United Arab Emirates,62
20,11 Mar 2024,Aerial Route,Food,United Arab Emirates,46
21,10 Mar 2024,Aerial Route,Food,Jordan,50
22,11 Mar 2024,Aerial Route,Food,Jordan,61.5
23,11 Mar 2024,Aerial Route,Food,Jordan,50
24,12 Mar 2024,Aerial Route,Food,Jordan,76
25,14 Mar 2024,Aerial Route,Food,Jordan,47
26,15 Mar 2024,Aerial Route,Food,Jordan,70
27,15 Mar 2024,Aerial Route,Food,Egypt,2.5
28,16 Mar 2024,Aerial Route,Food,United Arab Emirates,46
29,17 Mar 2024,Aerial Route,Food,United Arab Emirates,46
30,16 Mar 2024,Aerial Route,Food,Jordan,25
31,18 Mar 2024,Aerial Route,Food,Jordan,66.5
32,20 Mar 2024,Aerial Route,Food,Jordan,40
33,21 Mar 2024,Aerial Route,Food,Jordan,70.5
34,21 Mar 2024,Aerial Route,Food,United Arab Emirates,16
35,22 Mar 2024,Aerial Route,Food,Jordan,18.5
36,22 Mar 2024,Aerial Route,Food,United Arab Emirates,46
37,23 Mar 2024,Aerial Route,Food,United Arab Emirates,44
38,24 Mar 2024,Aerial Route,Food,United Arab Emirates,46
39,24 Mar 2024,Aerial Route,Food,Jordan,21
40,25 Mar 2024,Aerial Route,Food,United Arab Emirates,46
41,25 Mar 2024,Aerial Route,Food,Jordan,56.5
42,26 Mar 2024,Aerial Route,Food,Jordan,35.5
43,26 Mar 2024,Aerial Route,Food,United Arab Emirates,54
44,27 Mar 2024,Aerial Route,Food,Jordan,37
45,27 Mar 2024,Aerial Route,Food,United Arab Emirates,82
46,28 Mar 2024,Aerial Route,Food,United Arab Emirates,82
47,28 Mar 2024,Aerial Route,Food,Jordan,24.5
48,29 Mar 2024,Aerial Route,Food,United Arab Emirates,82
49,29 Mar 2024,Aerial Route,Food,Jordan,64.5
50,30 Mar 2024,Aerial Route,Food,United Arab Emirates,96
51,31 Mar 2024,Aerial Route,Food,Jordan,73
52,31 Mar 2024,Aerial Route,Food,United Arab Emirates,96
53,1 Apr 2024,Aerial Route,Food,Jordan,60
54,1 Apr 2024,Aerial Route,Food,United Arab Emirates,96
55,2 Apr 2024,Aerial Route,Food,United Arab Emirates,96
56,2 Apr 2024,Aerial Route,Food,Jordan,75
57,3 Apr 2024,Aerial Route,Food,United Arab Emirates,90
58,3 Apr 2024,Aerial Route,Food,Jordan,44.5
59,3 Apr 2024,Aerial Route,Food,Jordan,78
60,3 Apr 2024,Aerial Route,Food,United Arab Emirates,94
61,5 Apr 2024,Aerial Route,Food,United Arab Emirates,100
62,7 Apr 2024,Aerial Route,Food,United Arab Emirates,94
63,7 Apr 2024,Aerial Route,Food,Jordan,62.5
64,8 Apr 2024,Aerial Route,Food,United Arab Emirates,94
65,8 Apr 2024,Aerial Route,Food,Jordan,43.5
66,9 Apr 2024,Aerial Route,Food,United Arab Emirates,96
67,9 Apr 2024,Aerial Route,Food,Jordan,103.5
68,10 Apr 2024,Aerial Route,Food,Jordan,96
69,10 Apr 2024,Aerial Route,Food,United Arab Emirates,148
70,11 Apr 2024,Aerial Route,Food,United Arab Emirates,104
71,11 Apr 2024,Aerial Route,Food,Jordan,51
72,12 Apr 2024,Aerial Route,Food,United Arab Emirates,110
73,13 Apr 2024,Aerial Route,Food,United Arab Emirates,104
74,15 Apr 2024,Aerial Route,Food,Jordan,36
75,16 Apr 2024,Aerial Route,Food,Jordan,49
76,17 Apr 2024,Aerial Route,Food,United Arab Emirates,104
77,18 Apr 2024,Aerial Route,Food,Jordan,72
78,21 Apr 2024,Aerial Route,Food,Jordan,67.5
79,23 Apr 2024,Aerial Route,Food,Jordan,68.5
80,23 Apr 2024,Aerial Route,Food,United Arab Emirates,94
81,24 Apr 2024,Aerial Route,Food,United Arab Emirates,104
82,25 Apr 2024,Aerial Route,Food,United Arab Emirates,94
83,26 Apr 2024,Aerial Route,Food,Jordan,52.5
84,26 Apr 2024,Aerial Route,Food,United Arab Emirates,104
85,27 Apr 2024,Aerial Route,Food,United Arab Emirates,94
86,28 Apr 2024,Aerial Route,Food,United Arab Emirates,94
87,28 Apr 2024,Aerial Route,Food,Jordan,52.5
88,29 Apr 2024,Aerial Route,Food,United Arab Emirates,94
89,30 Apr 2024,Aerial Route,Food,United Arab Emirates,94
90,30 Apr 2024,Aerial Route,Food,Jordan,58.5
91,1 May 2024,Aerial Route,Food,Jordan,45.5
92,1 May 2024,Aerial Route,Food,United Arab Emirates,82
93,2 May 2024,Aerial Route,Food,United Arab Emirates,56
94,3 May 2024,Aerial Route,Food,United Arab Emirates,70
95,4 May 2024,Aerial Route,Food,United Arab Emirates,94
96,5 May 2024,Aerial Route,Food,United Arab Emirates,94
97,6 May 2024,Aerial Route,Food,Jordan,47
98,7 May 2024,Aerial Route,Food,United Arab Emirates,94
99,14 May 2024,Aerial Route,Food,Jordan,45.5
100,7 May 2024,Aerial Route,Food,United Arab Emirates,94
101,9 May 2024,Aerial Route,Food,Jordan,58.5
102,16 May 2024,Aerial Route,Food,Jordan,22.5
103,19 May 2024,Aerial Route,Food,Jordan,22.5
104,21 May 2024,Aerial Route,Food,Jordan,18.5
105,23 May 2024,Aerial Route,Food,Jordan,18.5
106,26 May 2024,Aerial Route,Food,Jordan,18.5
107,28 May 2024,Aerial Route,Food,Jordan,22.5
108,30 May 2024,Aerial Route,Food,Jordan,22.5
109,1 Jun 2024,Aerial Route,Food,Jordan,22.5
110,4 Jun 2024,Aerial Route,Food,Jordan,13.5
111,5 Jun 2024,Aerial Route,Food,Jordan,12.5
112,9 Jun 2024,Aerial Route,Food,Jordan,11
113,13 Jun 2024,Aerial Route,Food,Jordan,8.5
114,14 Jun 2024,Aerial Route,Food,Jordan,19.5
115,16 Jun 2024,Aerial Route,Food,Jordan,19.5
116,16 Jun 2024,Aerial Route,Food,United Arab Emirates,38
117,23 Jun 2024,Aerial Route,Food,Jordan,13.5
118,25 Jun 2024,Aerial Route,Food,Jordan,13.5
119,4 Jul 2024,Aerial Route,Food,Jordan,12
120,8 Jul 2024,Aerial Route,Food,Jordan,15.5
121,10 Jul 2024,Aerial Route,Food,Jordan,15.5
122,15 Jul 2024,Aerial Route,Food,Jordan,8.5
124,21 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
125,21 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
126,21 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
127,21 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
128,21 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
129,21 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
130,21 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
131,21 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
132,21 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
133,21 Oct 2023,Land Crossings,Medical Supplies,WHO,10
134,21 Oct 2023,Land Crossings,Medical Supplies,WHO,10
135,21 Oct 2023,Land Crossings,Medical Supplies,WHO,10
136,21 Oct 2023,Land Crossings,Medical Supplies,WHO,10
137,21 Oct 2023,Land Crossings,Medical Supplies,Qatar,20
138,21 Oct 2023,Land Crossings,Medical Supplies,Qatar,20
139,21 Oct 2023,Land Crossings,Water,UNICEF,20
140,21 Oct 2023,Land Crossings,Water,UNICEF,20
141,21 Oct 2023,Land Crossings,Food,WFP,15
142,21 Oct 2023,Land Crossings,Food,WFP,15
143,21 Oct 2023,Land Crossings,Food,WFP,15
144,22 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
145,22 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
146,22 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
147,22 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
148,22 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
149,22 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
150,22 Oct 2023,Land Crossings,Water,Egyptian National Red Crescent Society,10
151,22 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
152,22 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
153,22 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,15
154,22 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
155,22 Oct 2023,Land Crossings,Medical Supplies,Tunisia,20
156,22 Oct 2023,Land Crossings,Water,UNRWA,20
157,22 Oct 2023,Land Crossings,Combined Aid,UNICEF,30
158,23 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
159,23 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
160,23 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
161,23 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
162,23 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
163,23 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
164,23 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
165,23 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
166,23 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
167,23 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
168,23 Oct 2023,Land Crossings,Medical Supplies,UNRWA,10
169,23 Oct 2023,Land Crossings,Medical Supplies,UNRWA,10
170,23 Oct 2023,Land Crossings,Medical Supplies,UNRWA,10
171,23 Oct 2023,Land Crossings,Medical Supplies,UNRWA,10
172,23 Oct 2023,Land Crossings,Medical Supplies,UNRWA,10
173,23 Oct 2023,Land Crossings,Medical Supplies,UNRWA,10
174,23 Oct 2023,Land Crossings,Combined Aid,UNRWA,15
175,23 Oct 2023,Land Crossings,Combined Aid,UNRWA,15
176,23 Oct 2023,Land Crossings,Food,UNRWA,15
177,23 Oct 2023,Land Crossings,Medical Supplies,Jordan,20
178,24 Oct 2023,Land Crossings,Water,Egyptian National Red Crescent Society,20
179,24 Oct 2023,Land Crossings,Water,Egyptian National Red Crescent Society,15
180,24 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,20
181,24 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
182,24 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
183,24 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
184,24 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
185,24 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
186,24 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
187,24 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
188,24 Oct 2023,Land Crossings,Water,UNICEF,15
189,24 Oct 2023,Land Crossings,Food,WFP,20
190,24 Oct 2023,Land Crossings,Water,UNICEF,20
191,24 Oct 2023,Land Crossings,Water,UNICEF,20
192,24 Oct 2023,Land Crossings,Water,UNICEF,20
193,24 Oct 2023,Land Crossings,Food,WFP,15
194,24 Oct 2023,Land Crossings,Food,WFP,15
195,24 Oct 2023,Land Crossings,Food,WFP,15
196,24 Oct 2023,Land Crossings,Food,WFP,10
197,24 Oct 2023,Land Crossings,Medical Supplies,Jordan,25
198,25 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
199,25 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,20
200,25 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
201,25 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
202,25 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,20
203,25 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,20
204,25 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
205,25 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
206,25 Oct 2023,Land Crossings,Medical Supplies,ICRC,20
207,25 Oct 2023,Land Crossings,Medical Supplies,ICRC,20
208,25 Oct 2023,Land Crossings,Medical Supplies,ICRC,25
209,25 Oct 2023,Land Crossings,Medical Supplies,ICRC,25
210,25 Oct 2023,Land Crossings,Medical Supplies,ICRC,25
211,25 Oct 2023,Land Crossings,Medical Supplies,ICRC,25
212,25 Oct 2023,Land Crossings,Medical Supplies,Mixed donors,20
213,25 Oct 2023,Land Crossings,Medical Supplies,Qatar,20
214,25 Oct 2023,Land Crossings,Medical Supplies,ICRC,20
215,25 Oct 2023,Land Crossings,Medical Supplies,ICRC,25
216,25 Oct 2023,Land Crossings,Food,Mixed donors,15
217,25 Oct 2023,Land Crossings,Medical Supplies,Kuwait,20
218,29 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
219,29 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
220,29 Oct 2023,Land Crossings,Medical Supplies,Mixed donors,15
221,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
222,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
223,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,15
224,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
225,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
226,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
227,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
228,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
229,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
230,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
231,29 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,20
232,29 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,20
233,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,15
234,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,15
235,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
236,29 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
237,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
238,29 Oct 2023,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,15
239,29 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,20
240,29 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
241,29 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,20
242,29 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
243,29 Oct 2023,Land Crossings,Water,Egyptian National Red Crescent Society,20
244,29 Oct 2023,Land Crossings,Medical Supplies,Turkey,15
245,29 Oct 2023,Land Crossings,Combined Aid,Qatar,15
246,29 Oct 2023,Land Crossings,Medical Supplies,UNICEF,10
247,29 Oct 2023,Land Crossings,Medical Supplies,WHO,10
248,29 Oct 2023,Land Crossings,Medical Supplies,India,20
249,29 Oct 2023,Land Crossings,Medical Supplies,WHO,10
250,29 Oct 2023,Land Crossings,Medical Supplies,UNICEF,10
251,29 Oct 2023,Land Crossings,Food,WFP,15
252,29 Oct 2023,Land Crossings,Food,WFP,15
253,29 Oct 2023,Land Crossings,Food,UAE,20
254,29 Oct 2023,Land Crossings,Water,Save the Children,20
255,29 Oct 2023,Land Crossings,Water,UNRWA,20
256,30 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,5
257,30 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
258,30 Oct 2023,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,10
259,30 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
260,30 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
261,30 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
262,30 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,15
263,30 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,15
264,30 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
265,30 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
266,30 Oct 2023,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,20
267,30 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,20
268,30 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
269,30 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
270,30 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
271,30 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
272,30 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
273,30 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,20
274,30 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,5
275,30 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,15
276,30 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
277,30 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
278,30 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
279,30 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,10
280,30 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,10
281,30 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
282,30 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,15
283,30 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
284,30 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,10
285,30 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,20
286,30 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,20
287,30 Oct 2023,Land Crossings,Medical Supplies,UNICEF,10
288,30 Oct 2023,Land Crossings,Medical Supplies,UNICEF,10
289,30 Oct 2023,Land Crossings,Medical Supplies,UNICEF,10
290,30 Oct 2023,Land Crossings,Medical Supplies,UNICEF,10
291,30 Oct 2023,Land Crossings,Medical Supplies,Save the Children,10
292,30 Oct 2023,Land Crossings,Medical Supplies,UNICEF,10
293,30 Oct 2023,Land Crossings,Medical Supplies,UNICEF,10
294,30 Oct 2023,Land Crossings,Medical Supplies,UNICEF,10
295,30 Oct 2023,Land Crossings,Water,UNICEF,20
296,30 Oct 2023,Land Crossings,Food,UAE,20
297,30 Oct 2023,Land Crossings,Food,WFP,15
298,30 Oct 2023,Land Crossings,Medical Supplies,ICRC,10
299,30 Oct 2023,Land Crossings,Shelter Equipment,ICRC,15
300,30 Oct 2023,Land Crossings,Shelter Equipment,ICRC,15
301,30 Oct 2023,Land Crossings,Medical Supplies,ICRC,10
302,30 Oct 2023,Land Crossings,Food,WFP,15
303,30 Oct 2023,Land Crossings,Food,WFP,15
304,30 Oct 2023,Land Crossings,Food,WFP,15
305,30 Oct 2023,Land Crossings,Food,WFP,15
306,30 Oct 2023,Land Crossings,Water,UNICEF,20
307,30 Oct 2023,Land Crossings,Food,WFP,15
308,30 Oct 2023,Land Crossings,Food,WFP,15
309,30 Oct 2023,Land Crossings,Food,WFP,15
310,30 Oct 2023,Land Crossings,Food,WFP,15
311,30 Oct 2023,Land Crossings,Food,WFP,15
312,30 Oct 2023,Land Crossings,Food,WFP,15
313,30 Oct 2023,Land Crossings,Food,WFP,15
314,31 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
315,31 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
316,31 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
317,31 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,25
318,31 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
319,31 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,25
320,31 Oct 2023,Land Crossings,Food,Egyptian National Red Crescent Society,25
321,31 Oct 2023,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,10
322,31 Oct 2023,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,15
323,31 Oct 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,5
324,31 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,20
325,31 Oct 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,20
326,31 Oct 2023,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,20
327,31 Oct 2023,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,20
328,31 Oct 2023,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,20
329,31 Oct 2023,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,20
330,31 Oct 2023,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,20
331,31 Oct 2023,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,20
332,31 Oct 2023,Land Crossings,Food,WFP,15
333,31 Oct 2023,Land Crossings,Food,WFP,15
334,31 Oct 2023,Land Crossings,Food,WFP,15
335,31 Oct 2023,Land Crossings,Food,WFP,15
336,31 Oct 2023,Land Crossings,Food,WFP,15
337,31 Oct 2023,Land Crossings,Food,WFP,15
338,31 Oct 2023,Land Crossings,Food,WFP,15
339,31 Oct 2023,Land Crossings,Food,WFP,15
340,31 Oct 2023,Land Crossings,Food,WFP,15
341,31 Oct 2023,Land Crossings,Food,WFP,15
342,31 Oct 2023,Land Crossings,Food,WFP,15
343,31 Oct 2023,Land Crossings,Food,WFP,15
344,31 Oct 2023,Land Crossings,Food,WFP,15
345,31 Oct 2023,Land Crossings,Medical Supplies,Qatar,20
346,31 Oct 2023,Land Crossings,Food,Mixed donors,20
347,31 Oct 2023,Land Crossings,Food,Mixed donors,20
348,31 Oct 2023,Land Crossings,Medical Supplies,Mixed donors,15
349,31 Oct 2023,Land Crossings,Medical Supplies,WHO,10
350,31 Oct 2023,Land Crossings,Medical Supplies,WHO,10
351,31 Oct 2023,Land Crossings,Medical Supplies,WHO,10
352,31 Oct 2023,Land Crossings,Water,UNICEF,20
353,31 Oct 2023,Land Crossings,Water,UNICEF,20
354,31 Oct 2023,Land Crossings,Water,UNICEF,20
355,31 Oct 2023,Land Crossings,Water,UNICEF,20
356,31 Oct 2023,Land Crossings,Water,UNICEF,20
357,31 Oct 2023,Land Crossings,Water,UNICEF,20
358,31 Oct 2023,Land Crossings,Water,UNICEF,20
359,31 Oct 2023,Land Crossings,Water,UNICEF,20
360,31 Oct 2023,Land Crossings,Medical Supplies,WHO,10
361,31 Oct 2023,Land Crossings,Food,Mixed donors,20
362,31 Oct 2023,Land Crossings,Combined Aid,Mixed donors,15
363,31 Oct 2023,Land Crossings,Food,Mixed donors,20
364,31 Oct 2023,Land Crossings,Food,Mixed donors,20
365,1 Nov 2023,Land Crossings,Food,WFP,15
366,1 Nov 2023,Land Crossings,Food,WFP,15
367,1 Nov 2023,Land Crossings,Food,Mixed donors,20
368,1 Nov 2023,Land Crossings,Food,UAE,20
369,1 Nov 2023,Land Crossings,Medical Supplies,Qatar,10
370,1 Nov 2023,Land Crossings,Food,WFP,15
371,1 Nov 2023,Land Crossings,Food,WFP,15
372,1 Nov 2023,Land Crossings,Medical Supplies,UNRWA,10
373,1 Nov 2023,Land Crossings,Medical Supplies,UNRWA,10
374,1 Nov 2023,Land Crossings,Medical Supplies,UNRWA,10
375,1 Nov 2023,Land Crossings,Food,UNRWA,15
376,1 Nov 2023,Land Crossings,Food,UNRWA,15
377,1 Nov 2023,Land Crossings,Food,UNRWA,15
378,1 Nov 2023,Land Crossings,Medical Supplies,UNICEF,10
379,1 Nov 2023,Land Crossings,Medical Supplies,UNICEF,10
380,1 Nov 2023,Land Crossings,Medical Supplies,UNICEF,10
381,1 Nov 2023,Land Crossings,Food,UNRWA,15
382,1 Nov 2023,Land Crossings,Food,UNRWA,15
383,1 Nov 2023,Land Crossings,Medical Supplies,UNICEF,10
384,1 Nov 2023,Land Crossings,Water,UNICEF,20
385,1 Nov 2023,Land Crossings,Water,UNICEF,20
386,1 Nov 2023,Land Crossings,Water,UNICEF,20
387,1 Nov 2023,Land Crossings,Food,UNRWA,15
388,1 Nov 2023,Land Crossings,Food,UNRWA,15
389,1 Nov 2023,Land Crossings,Food,UNRWA,15
390,1 Nov 2023,Land Crossings,Food,UNRWA,15
391,1 Nov 2023,Land Crossings,Food,UNRWA,15
392,1 Nov 2023,Land Crossings,Food,UNRWA,15
393,1 Nov 2023,Land Crossings,Food,UNRWA,15
394,1 Nov 2023,Land Crossings,Food,UNRWA,15
395,1 Nov 2023,Land Crossings,Food,UNRWA,15
396,1 Nov 2023,Land Crossings,Food,UNRWA,15
397,1 Nov 2023,Land Crossings,Medical Supplies,Bahrain,20
398,1 Nov 2023,Land Crossings,Food,WFP,15
399,1 Nov 2023,Land Crossings,Food,WFP,15
400,1 Nov 2023,Land Crossings,Food,WFP,15
401,1 Nov 2023,Land Crossings,Medical Supplies,Mixed donors,15
402,1 Nov 2023,Land Crossings,Food,WFP,15
403,1 Nov 2023,Land Crossings,Food,Qatar,20
404,1 Nov 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
405,1 Nov 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
406,1 Nov 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
407,1 Nov 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
408,1 Nov 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
409,1 Nov 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
410,1 Nov 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
411,1 Nov 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
412,1 Nov 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
413,1 Nov 2023,Land Crossings,Food,Egyptian National Red Crescent Society,20
414,1 Nov 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,20
415,1 Nov 2023,Land Crossings,Medical Supplies,Egyptian National Red Crescent Society,15
416,1 Nov 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
417,1 Nov 2023,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,10
418,1 Nov 2023,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
